condition,organ_system,location_text,anatomical_features,anatomical_type,file_path
Pleurisy (Pleuritis),CARDIO,"Lateral chest wall, unilateral.","{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': True, 'has_midline': False, 'has_flank': False, 'has_chest': True, 'has_back': False, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 1}",bilateral,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/CARDIO/CARDIO_Pleurisy.json
Pulmonary Embolism (PE),CARDIO,"Chest (pleuritic pain), often lateral or posterior.","{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': False, 'has_midline': False, 'has_flank': False, 'has_chest': True, 'has_back': True, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': True, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 1}",unknown,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/CARDIO/CARDIO_Pulmonary_Embolism.json
Supraventricular Tachycardia (SVT),CARDIO,"Chest, palpitations.","{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': False, 'has_midline': False, 'has_flank': False, 'has_chest': True, 'has_back': False, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 1}",unknown,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/CARDIO/CARDIO_SVT.json
Atrial Flutter,CARDIO,Chest (palpitations).,"{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': False, 'has_midline': False, 'has_flank': False, 'has_chest': True, 'has_back': False, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 1}",unknown,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/CARDIO/CARDIO_Atrial_Flutter.json
Pneumothorax (Collapsed Lung),CARDIO,UNILATERAL chest pain (left or right).,"{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': True, 'has_midline': False, 'has_flank': False, 'has_chest': True, 'has_back': False, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 1}",bilateral,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/CARDIO/CARDIO_Pneumothorax.json
Epiglottitis,PULMONARY,Supraglottic region.,"{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': False, 'has_midline': False, 'has_flank': False, 'has_chest': False, 'has_back': False, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 0}",unknown,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/PULMONARY/PULMONARY_Epiglottitis.json
Upper Respiratory Infection (URI),PULMONARY,Upper respiratory tract.,"{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': False, 'has_midline': False, 'has_flank': False, 'has_chest': False, 'has_back': False, 'has_upper': True, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 0}",unknown,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/PULMONARY/PULMONARY_Upper_Respiratory_Infection.json
Pneumothorax,PULMONARY,Unilateral chest.,"{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': True, 'has_midline': False, 'has_flank': False, 'has_chest': True, 'has_back': False, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 1}",bilateral,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/PULMONARY/PULMONARY_Pneumothorax.json
Foreign Body Aspiration,PULMONARY,Upper airway or bronchial tree.,"{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': False, 'has_midline': False, 'has_flank': False, 'has_chest': False, 'has_back': False, 'has_upper': True, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 0}",unknown,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/PULMONARY/PULMONARY_Foreign_Body_Aspiration.json
Pleural Effusion,PULMONARY,Unilateral or bilateral chest.,"{'has_right_quadrant': False, 'has_left_quadrant': False, 'has_bilateral': True, 'has_midline': False, 'has_flank': False, 'has_chest': True, 'has_back': False, 'has_upper': False, 'has_lower': False, 'has_anterior': False, 'has_posterior': False, 'has_radiates': False, 'has_migrates': False, 'has_localizes': False, 'has_diffuse': False, 'spatial_term_count': 1}",bilateral,/Users/rcabello/Documents/GitHub/LedgerAI/llm-medical-container/medical/guidelines/PULMONARY/PULMONARY_Pleural_Effusion.json
